a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x;y;z;language
0.097;0.013;0.038;0.03;0.091;0.003;0.02;0.014;0.075;0.034;0.042;0.015;0.029;0.051;0.081;0.032;0;0.063;0.048;0.045;0.032;0.002;0.052;0;0.04;0.051;polski
0.096;0.013;0.038;0.032;0.084;0.001;0.014;0.012;0.096;0.025;0.035;0.019;0.038;0.053;0.081;0.03;0;0.048;0.047;0.055;0.023;0;0.055;0;0.04;0.063;polski
0.096;0.018;0.039;0.032;0.098;0.003;0.014;0.006;0.08;0.031;0.028;0.024;0.029;0.059;0.082;0.034;0;0.057;0.035;0.039;0.03;0.001;0.052;0.002;0.051;0.061;polski
0.074;0.005;0.032;0.036;0.111;0.008;0.011;0.001;0.097;0.032;0.033;0.013;0.043;0.055;0.078;0.039;0;0.056;0.058;0.045;0.021;0;0.054;0;0.028;0.068;polski
0.098;0.011;0.034;0.026;0.092;0.002;0.013;0.005;0.105;0.027;0.04;0.027;0.035;0.061;0.074;0.04;0;0.06;0.043;0.035;0.034;0;0.054;0;0.027;0.055;polski
0.09;0.009;0.048;0.026;0.08;0.003;0.01;0.01;0.092;0.032;0.039;0.029;0.03;0.061;0.083;0.042;0;0.052;0.057;0.041;0.024;0;0.054;0;0.031;0.058;polski
0.077;0.013;0.043;0.03;0.079;0.002;0.011;0.011;0.102;0.024;0.043;0.028;0.024;0.054;0.103;0.04;0;0.051;0.053;0.036;0.021;0;0.058;0.002;0.035;0.06;polski
0.088;0.011;0.048;0.025;0.07;0.004;0.01;0.009;0.086;0.03;0.037;0.032;0.019;0.053;0.1;0.041;0;0.053;0.057;0.043;0.023;0;0.065;0;0.041;0.053;polski
0.08;0.009;0.042;0.034;0.08;0.002;0.011;0.011;0.08;0.029;0.049;0.035;0.027;0.051;0.09;0.033;0;0.06;0.05;0.039;0.025;0.001;0.06;0;0.04;0.06;polski
0.095;0.009;0.04;0.029;0.075;0.003;0.01;0.01;0.094;0.019;0.049;0.025;0.026;0.056;0.084;0.031;0;0.053;0.054;0.047;0.027;0.002;0.059;0.005;0.037;0.061;polski
0.085;0.025;0.025;0.037;0.122;0.02;0.02;0.042;0.075;0.001;0.009;0.049;0.03;0.069;0.07;0.026;0;0.073;0.052;0.085;0.027;0.016;0.021;0.003;0.019;0;english
0.082;0.011;0.029;0.05;0.125;0.024;0.019;0.054;0.065;0.001;0.004;0.038;0.035;0.064;0.072;0.021;0;0.068;0.068;0.095;0.028;0.011;0.016;0.005;0.011;0.001;english
0.076;0.015;0.027;0.037;0.137;0.017;0.028;0.043;0.072;0.002;0.006;0.044;0.032;0.078;0.075;0.022;0.001;0.069;0.06;0.083;0.025;0.011;0.018;0.004;0.017;0.001;english
0.084;0.011;0.034;0.047;0.138;0.03;0.018;0.047;0.072;0.004;0.003;0.041;0.027;0.067;0.064;0.021;0.001;0.069;0.059;0.093;0.029;0.01;0.016;0;0.015;0.001;english
0.079;0.015;0.037;0.042;0.124;0.016;0.022;0.044;0.079;0.001;0.008;0.037;0.021;0.074;0.073;0.026;0.001;0.059;0.072;0.097;0.026;0.009;0.019;0.004;0.014;0.001;english
0.084;0.013;0.036;0.042;0.117;0.019;0.022;0.043;0.08;0;0.003;0.042;0.022;0.079;0.074;0.018;0.002;0.063;0.062;0.106;0.03;0.008;0.015;0.002;0.015;0.002;english
